City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,les avirons,-21.2418,55.3394,21.88,56,0,3.6,RE,1694059073
179,papatowai,-46.5619,169.4708,13.42,66,27,5.76,NZ,1694059073
180,aoulef,26.9667,1.0833,34.16,23,67,6.39,DZ,1694059073
181,uturoa,-16.7333,-151.4333,26.24,78,16,4.32,PF,1694059074
182,contamana,-7.3333,-75.0167,21.52,95,35,0.17,PE,1694059074
183,watampone,-4.5386,120.3279,30.1,52,1,4.87,ID,1694059074
184,vilyuchinsk,52.9306,158.4028,12.15,95,100,0.32,RU,1694059074
185,cooper's town,26.8667,-77.5167,27.05,64,2,1.26,BS,1694059075
186,bredasdorp,-34.5322,20.0403,7.57,87,21,3.45,ZA,1694059075
187,am timan,11.0297,20.2827,22.74,90,100,1.93,TD,1694059075
188,cadale,2.7603,46.3222,25.78,85,22,7.8,SO,1694058787
189,antsiranana,-12.2787,49.2917,22.42,73,75,3.09,MG,1694059076
190,ancud,-41.8697,-73.8203,9.3,90,95,6.31,CL,1694059076
191,broken hill,-31.95,141.4333,16.04,39,48,15.06,AU,1694058909
192,porto novo,6.4965,2.6036,24.9,92,80,2.33,BJ,1694059077
193,xai-xai,-25.0519,33.6442,17.28,86,13,1.61,MZ,1694059077
194,bani suwayf,29.0744,31.0979,29.94,20,0,2.26,EG,1694059077
195,bafq,31.6128,55.4107,32.13,12,1,0.68,IR,1694059078
196,ushuaia,-54.8,-68.3,3.81,56,40,4.12,AR,1694059078
197,jianshui,23.6363,102.8264,26.39,65,24,1.91,CN,1694059078
198,saint john,45.2727,-66.0677,20.0,94,100,4.12,CA,1694059011
199,sumbawa besar,-8.5,117.4333,33.04,40,34,3.92,ID,1694059079
200,fang,19.9169,99.2145,26.77,87,99,0.38,TH,1694059079
201,gagarin,55.5529,34.9954,6.34,92,0,3.27,RU,1694059079
202,zouerate,22.7187,-12.4521,29.81,46,99,3.05,MR,1694059079
203,san martin,-33.081,-68.4681,12.3,73,100,3.12,AR,1694059079
204,richards bay,-28.783,32.0377,13.95,82,0,2.33,ZA,1694059080
205,beira,-19.8436,34.8389,22.05,88,40,1.03,MZ,1694058903
206,aberdeen,57.1437,-2.0981,12.52,100,66,0.51,GB,1694058885
207,luanda,-8.8368,13.2343,22.0,88,76,3.09,AO,1694058844
208,dambatta,12.433,8.5154,26.3,59,0,3.26,NG,1694059081
209,kurara,25.9833,79.9833,27.8,74,100,3.27,IN,1694059081
210,lorengau,-2.0226,147.2712,29.5,71,49,4.27,PG,1694059082
211,taoudenni,22.6783,-3.9836,34.75,25,61,6.69,ML,1694059082
